1,Ambiguous,OP1,Eir Aoi,Kill la Kill,0,Supermalo
3,"No Pain, No Game",OP1,Nano,Btooom!,0,Supermalo
4,Imagination,OP1,SPYAIR,Haikyuu,0,Supermalo
5,Yume Tourou,OST,RADWIMPS,Kimi no na wa,0,Supermalo
6,Hyadain no Joujou Yuujou,OP2,Hyadain,Nichijou,0,Supermalo
7,We Are!,OP1,Hiroshi Kitadani,One Piece,0,Supermalo
8,Namae no nai Kaibutsu,ED1,EGOIST,Psycho Pass,0,Supermalo
9,Hikaru nara,OP1,Goose house,Shigatsu wa kimi no uso,0,Supermalo
10,Reclimb,OP1,ROOKiEZ is PUNKD,Yowamushi Pedal,0,Supermalo
11,Yowamushi na Honoo,OP2,Dirty Old Men,Yowamushi Pedal,0,Supermalo
12,Kaze wo Yobe,ED1,Under Graph,Yowamushi Pedal,0,Supermalo
13,Nanairo Symphony,OP2,Coala Mode,Shigatsu wa kimi no uso,0,Supermalo
2,Sorairo Days,OP1,Shoko Nakagawa,Tengen Toppa Gurren Lagann,0,Supermalo
